epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,3284.85,1.07486,1.85124,0.92037,1.19833,0.74967,0.68182,0.72903,0.42481,0.78153,0.68939,0.7581,0.4522,1.55618,2.54135,1.1222,1.67,0.0013796,0.0013796,0.0013796
49,3358.96,1.08057,1.84285,0.91085,1.18089,0.74037,0.71212,0.76824,0.45486,0.74593,0.7197,0.77674,0.45983,1.37422,2.43182,1.10679,1.48226,0.0013664,0.0013664,0.0013664
50,3427.24,1.07496,1.83008,0.922,1.19136,0.8068,0.68182,0.78405,0.4441,0.82963,0.73784,0.79827,0.47749,1.58181,2.37223,1.06758,1.65092,0.0013532,0.0013532,0.0013532
51,3494.99,1.06345,1.83206,0.88755,1.18758,0.70711,0.68939,0.7411,0.42495,0.79862,0.68182,0.77154,0.45354,1.51117,2.42007,1.11051,1.5913,0.00134,0.00134,0.00134
52,3569.82,1.03963,1.76292,0.86111,1.16004,0.72579,0.78788,0.7583,0.45228,0.83161,0.71085,0.80156,0.47136,1.50656,2.41664,1.03248,1.59836,0.0013268,0.0013268,0.0013268
53,3636.84,1.05321,1.8135,0.88479,1.17277,0.73991,0.68182,0.75741,0.44495,0.73386,0.69697,0.76494,0.46336,1.32159,2.49655,1.03895,1.43181,0.0013136,0.0013136,0.0013136
54,3703.94,1.05875,1.80656,0.87819,1.17093,0.80039,0.65909,0.74977,0.44336,0.8024,0.67682,0.75955,0.44908,1.43388,2.31738,1.16462,1.50666,0.0013004,0.0013004,0.0013004
55,3774.59,1.0553,1.79314,0.86061,1.16878,0.74952,0.66667,0.75193,0.45232,0.75843,0.71354,0.79538,0.46695,1.60814,2.39249,1.13061,1.63826,0.0012872,0.0012872,0.0012872
56,3853.09,1.05981,1.81584,0.87452,1.17097,0.77397,0.7197,0.76372,0.43174,0.78212,0.72727,0.7729,0.46315,1.46847,2.35389,1.15628,1.60041,0.001274,0.001274,0.001274
57,3920.05,1.04101,1.76495,0.85509,1.15763,0.7649,0.69014,0.7574,0.44598,0.80234,0.64394,0.76639,0.46033,1.48261,2.45782,1.00456,1.52951,0.0012608,0.0012608,0.0012608
58,3988.64,1.04221,1.78099,0.85044,1.16112,0.73261,0.73485,0.77741,0.47718,0.75527,0.75758,0.78961,0.48018,1.35056,2.39569,1.1882,1.46111,0.0012476,0.0012476,0.0012476
59,4057.92,1.03717,1.76343,0.82654,1.15225,0.77514,0.72727,0.79885,0.47358,0.77514,0.72727,0.80562,0.48493,1.47023,2.36202,1.04804,1.574,0.0012344,0.0012344,0.0012344
